what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1324586194127
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1324586196275
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1324586196368
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324586197569
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324586198357
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.MemoryView",1324586198510
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324586200611
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324586202749
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1324586206490
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1324586206567
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324586226818
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324586230442
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Terminate",1324586230527
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324586230579
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324586231589
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324586248844
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324586253196
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1324586256210
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324586259992
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324586263217
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Terminate",1324586268696
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324586276657
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324586277633
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324586281020
error,log,,,"Unhandled event loop exception",1324586501715
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324586532565
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324586534376
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324586535365
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324586536215
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324586537171
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324586540526
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324586542896
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324586543522
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324586552288
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1324586552490
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1324586552728
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1324586552731
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1324586552732
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1324586552734
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1324586552738
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1324586552739
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1324586552743
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1324586552743
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,14.0.0.v201110171935-205994,"overlay.com.android.ide.eclipse.adt.overlay",1324586552746
stopped,bundle,com.android.ide.eclipse.adt,14.0.0.v201110171935-205994,"com.android.ide.eclipse.adt",1324586552746
stopped,bundle,org.eclipse.cdt,6.0.2.201002161416,"org.eclipse.cdt",1324586552747
stopped,bundle,org.eclipse.cdt.doc.user,5.1.0.201002161416,"org.eclipse.cdt.doc.user",1324586552750
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1324586552752
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1324586552754
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1324586552756
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1324586552756
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1324586552759
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1324586552762
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1324586552764
